PM2_5,PM10,Temp,Hum,Hum_Ref,Temp_Ref,PM2_5_Ref
17.0,19.0,33.3,86.0,91.3,32.19,20.02895
18.0,20.0,34.9,75.0,84.4,33.11,20.22547
18.0,20.0,34.7,72.0,82.4,33.38,21.8007
16.0,18.0,35.0,69.0,76.47,33.86,19.40115
13.0,14.0,35.0,63.0,79.12,33.58,15.39585
8.0,9.0,35.0,75.0,90.6,32.51,12.21557
13.0,14.0,29.7,87.0,99.8,30.8,14.29974
10.0,11.0,26.2,87.0,99.9,28.72,13.98008
20.0,22.0,22.4,100.0,99.3,26.11,31.56882
20.0,22.0,27.9,91.0,99.8,28.12,16.84541
26.0,29.0,29.1,85.0,95.4,29.03,17.18058
14.0,15.0,29.3,85.0,97.4,29.1,16.42082
15.0,17.0,30.1,80.0,95.4,29.24,14.17391
11.0,12.0,29.8,79.0,97.9,29.21,14.68476
11.0,12.0,29.2,80.0,97.6,29.08,11.27295
13.0,14.0,28.1,86.0,99.9,28.91,16.86335
17.0,19.0,28.4,89.0,99.8,28.87,19.76833
21.0,23.0,30.1,89.0,100.0,29.46,22.17564
12.0,13.0,31.1,83.0,94.9,30.4,12.45778
5.0,5.0,33.9,77.0,87.5,31.52,8.469377
4.0,4.0,34.8,70.0,81.6,32.18,6.67351
4.0,4.0,33.7,62.0,73.25,32.0,5.930866
1.0,1.0,34.8,61.0,79.88,32.49,5.24304
2.0,2.0,35.0,64.0,85.5,31.59,5.912199
5.0,5.0,33.9,66.0,88.4,30.84,6.968462
7.0,7.0,31.2,79.0,92.5,29.62,9.471087
14.0,15.0,25.0,87.0,97.0,28.39,15.6423
12.0,13.0,23.6,90.0,100.0,27.99,12.50308
15.0,18.0,27.8,95.0,100.0,29.95,15.29501
12.0,13.0,29.0,89.0,94.0,30.95,15.1226
18.0,20.0,31.9,77.0,84.5,32.31,17.64277
18.0,20.0,34.5,75.0,82.0,33.42,18.02714
7.0,7.0,35.0,69.0,79.4,33.75,10.15425
7.0,8.0,34.2,67.5,82.2,32.97,8.776131
6.0,6.0,33.3,70.0,87.8,32.65,8.288446
4.0,4.0,32.6,73.0,89.3,31.66,7.110263
6.0,6.0,30.8,78.0,96.4,30.89,6.86697
5.0,5.0,28.5,89.0,100.0,29.89,7.316673
4.0,4.0,24.8,89.0,100.0,28.67,7.345694
18.0,20.0,27.1,96.0,100.0,29.69,19.41433
14.0,15.0,31.5,87.0,91.5,31.54,15.76088
15.0,17.0,33.5,79.0,86.8,32.37,17.33474
15.0,17.0,35.0,74.0,87.8,33.3,17.61194
8.0,9.0,33.5,74.0,88.5,32.67,15.88787
9.0,10.0,34.0,71.0,88.1,32.34,13.36508
10.0,11.0,32.9,74.0,91.0,32.0,12.63903
5.0,5.0,32.2,76.0,91.0,31.45,10.05981
5.0,6.0,29.8,79.0,94.0,30.32,9.830317
7.0,8.0,27.8,89.0,100.0,29.47,10.21294
19.0,21.0,25.7,95.0,100.0,28.69,22.3499
18.0,20.0,27.7,94.0,99.8,29.68,22.31453
13.0,14.0,31.2,87.0,95.3,31.68,18.41749
15.0,17.0,34.1,76.0,82.6,32.81,21.73146
14.0,15.0,35.0,71.0,78.97,34.13,25.94279
15.0,17.0,34.9,72.0,84.2,33.57,26.324
12.0,14.0,35.0,67.0,79.87,33.59,22.45381
12.0,13.0,34.3,66.0,80.6,33.24,22.10654
12.0,14.0,34.0,69.0,89.3,32.68,21.61285
14.0,15.0,33.1,75.0,94.1,31.31,20.81292
20.0,22.0,29.5,86.0,99.8,30.02,22.73476
24.0,27.0,28.9,95.0,99.6,30.4,30.36019
21.0,23.0,32.6,85.0,90.3,31.81,29.85615
18.0,22.0,34.4,76.0,82.7,33.17,30.62483
19.0,22.0,35.0,70.0,79.11,34.13,34.6451
16.0,18.0,35.0,67.5,79.78,33.6,34.84301
14.0,16.0,34.7,68.0,89.0,29.82,28.56699
