PM2_5,PM10,Temp,Hum,Hum_Ref,Temp_Ref,PM2_5_Ref
1.0,1.0,28.5,72.0,89.2,30.01,6.460526
2.0,2.0,28.5,72.0,88.1,30.23,6.376964
2.0,2.0,28.5,73.0,86.7,30.29,6.2943
2.0,2.0,28.6,72.0,86.8,30.21,6.284174
1.0,1.0,28.6,72.0,87.2,30.06,6.285406
2.0,2.0,28.6,72.0,87.7,30.02,6.279962
2.0,2.0,28.55,72.0,88.0,29.97,6.261509
2.0,2.0,28.6,72.0,87.8,29.98,6.276306
1.0,1.0,28.6,71.0,89.0,29.95,6.218456
1.0,1.0,28.7,71.0,89.1,30.02,6.184701
3.0,3.0,28.6,71.0,88.5,30.01,6.245476
1.0,1.0,28.6,72.0,88.8,29.95,6.326937
1.0,1.0,28.6,72.0,89.2,29.84,6.41856
3.0,3.0,28.6,72.0,89.2,29.77,6.469126
1.0,1.0,28.5,72.0,88.9,29.7,6.532629
1.0,1.0,28.5,72.0,90.1,29.67,6.548347
3.0,3.0,28.5,72.0,89.7,29.64,6.612808
2.0,2.0,28.4,72.0,90.2,29.57,6.734877
2.0,2.0,28.4,72.0,90.5,29.5,6.861315
1.0,1.0,28.4,72.0,90.8,29.5,6.872709
2.0,2.0,28.2,72.0,90.6,29.65,6.831068
1.0,1.0,28.2,73.0,90.4,29.64,6.760164
1.0,1.0,28.2,73.0,90.2,29.51,6.749611
1.0,1.0,28.1,73.0,91.3,29.43,6.800887
2.0,2.0,28.1,73.0,91.5,29.43,6.881647
2.0,2.0,28.0,73.0,92.3,29.46,6.902267
1.0,1.0,28.0,74.0,92.0,29.44,6.915123
1.0,1.0,27.9,73.0,92.3,29.56,6.845552
2.0,2.0,27.9,74.0,91.9,29.61,6.795946
3.0,3.0,27.9,74.0,91.6,29.56,6.790645
3.0,3.0,27.9,75.0,91.7,29.54,6.862173
2.0,2.0,27.8,75.0,91.4,29.46,7.057423
3.0,3.0,27.8,76.0,92.2,29.52,7.189925
3.0,3.0,27.8,77.0,91.5,29.59,7.27214
1.0,1.0,27.7,76.0,91.3,29.53,7.269863
3.0,3.0,27.8,77.0,91.3,29.52,7.2971
2.0,2.0,27.7,77.0,91.8,29.52,7.288914
3.0,3.0,27.8,76.0,91.8,29.55,7.289606
5.0,5.0,27.7,76.0,92.1,29.58,7.249184
2.0,2.0,27.7,77.0,90.5,29.58,7.218361
2.0,2.0,27.7,76.0,90.7,29.44,7.142306
1.0,1.0,27.7,76.0,91.0,29.37,6.980302
3.0,3.0,27.7,77.0,91.5,29.28,6.838902
3.0,3.0,27.7,77.0,92.3,29.21,6.732803
3.0,3.0,27.6,77.0,92.6,29.1,6.718876
1.0,1.0,27.6,77.0,93.2,28.99,6.632478
2.0,2.0,27.6,75.0,93.7,28.96,6.654573
2.0,2.0,27.6,76.0,93.7,28.93,6.649689
2.0,2.0,27.5,75.0,94.0,28.98,6.737389
2.0,2.0,27.4,76.0,94.3,29.08,6.801921
1.0,1.0,27.4,77.0,94.2,29.09,6.890006
2.0,2.0,27.3,77.0,94.6,29.09,7.06486
2.0,2.0,27.2,77.0,95.0,29.12,7.162612
2.0,2.0,27.2,78.0,94.2,29.16,7.199325
3.0,3.0,27.1,78.0,93.6,29.24,7.249538
1.0,1.0,27.0,79.0,93.1,29.32,7.206816
2.0,2.0,27.0,79.0,92.6,29.39,7.20517
3.0,3.0,26.9,80.0,92.9,29.35,7.146842
4.0,4.0,26.9,80.0,93.2,29.24,7.053349
4.0,4.0,26.9,80.0,92.5,29.14,6.932168
2.0,2.0,27.0,80.0,93.4,29.0,6.753843
4.0,4.0,27.0,80.0,94.4,29.04,6.603504
2.0,2.0,27.0,80.0,95.0,29.04,6.489569
2.0,2.0,27.1,79.0,96.2,28.82,6.298986
1.0,1.0,27.1,79.0,97.0,28.7,6.224726
1.0,1.0,27.1,79.0,97.5,28.59,6.140565
2.0,2.0,27.1,78.0,97.4,28.56,6.108179
1.0,1.0,27.1,79.0,97.6,28.57,6.09882
1.0,1.0,27.1,80.0,97.8,28.61,6.126165
1.0,1.0,27.0,79.0,98.0,28.68,6.190142
1.0,1.0,27.0,80.0,97.3,28.73,6.241468
2.0,2.0,26.9,80.0,97.2,28.76,6.315994
1.0,1.0,26.8,80.0,96.8,28.69,6.424943
2.0,2.0,26.7,80.0,97.0,28.63,6.562296
2.0,2.0,26.6,81.0,96.8,28.57,6.554194
2.0,2.0,26.5,81.0,96.7,28.52,6.651285
2.0,2.0,26.5,81.0,97.1,28.5,6.765174
2.0,2.0,26.4,81.0,97.2,28.51,6.853345
3.0,3.0,26.4,81.0,97.2,28.46,7.01443
2.0,2.0,26.3,81.0,97.8,28.44,7.178165
3.0,3.0,26.3,81.0,97.7,28.44,7.306012
2.0,2.0,26.2,81.0,98.0,28.48,7.531599
2.0,2.0,26.2,81.0,97.0,28.46,7.631324
3.0,3.0,26.1,82.0,96.9,28.45,7.54763
4.0,4.0,26.1,82.0,97.1,28.51,7.552567
5.0,5.0,26.0,82.0,97.6,28.52,7.615114
4.0,4.0,26.0,82.0,97.8,28.55,7.683397
4.0,4.0,25.9,82.0,97.1,28.5,7.732088
3.0,3.0,25.9,82.0,97.6,28.49,7.786018
3.0,3.0,25.8,82.0,97.3,28.55,7.829504
3.0,3.0,25.9,82.0,96.8,28.52,7.833817
3.0,3.0,25.9,82.0,97.0,28.46,7.862627
4.0,4.0,25.8,82.0,97.3,28.48,7.981634
2.0,2.0,25.8,83.0,97.2,28.49,8.105077
4.0,4.0,25.8,82.0,97.3,28.46,8.261484
4.0,4.0,25.8,83.0,97.4,28.43,8.459388
4.0,4.0,25.8,83.0,97.6,28.45,8.676494
5.0,5.0,25.8,82.0,97.5,28.4,8.810537
